Flying Dragon,n64,NULL,bootleg
Forsaken 64,n64,NULL,bootleg
Fox Sports College Hoops '99,n64,NULL,bootleg
Frogger 2,n64,NULL,bootleg
G.A.S.P. Fighter's NEXTream,n64,NULL,bootleg
Gauntlet Legends,n64,NULL,bootleg
Getter Love!!,n64,NULL,bootleg
Gex 3: Deep Cover Gecko,n64,NULL,bootleg
Gex 64: Enter the Gecko,n64,NULL,bootleg
Giga Wing,n64,NULL,bootleg
Glover,n64,NULL,bootleg
Goemon's Great Adventure,n64,NULL,bootleg
Goemon: Mononoke Sugoroku,n64,NULL,bootleg
Golden Nugget 64,n64,NULL,bootleg
GT 64: Championship Edition,n64,NULL,bootleg
Hamster Monogatari 64,n64,NULL,bootleg
Harvest Moon 64,n64,NULL,bootleg
Hercules: The Legendary Journeys,n64,NULL,bootleg
Hexen,n64,NULL,bootleg
"Hey You, Pikachu!",n64,NULL,bootleg
Hot Wheels Turbo Racing,n64,NULL,bootleg
Hybrid Heaven,n64,NULL,bootleg
Hydro Thunder,n64,NULL,bootleg
Ide Yosuke no Mahjong Juku,n64,NULL,bootleg
Iggy's Reckin' Balls,n64,NULL,bootleg
In-Fisherman Bass Hunter 64,n64,NULL,bootleg
Indiana Jones and the Infernal Machine,n64,NULL,bootleg
Indy Racing 2000,n64,NULL,bootleg
International Superstar Soccer '98,n64,NULL,bootleg
International Superstar Soccer 64,n64,NULL,bootleg
International Superstar Soccer 2000,n64,NULL,bootleg
International Track & Field 2000,n64,NULL,bootleg
J-League Dynamite Soccer 64,n64,NULL,bootleg
J-League Eleven Beat,n64,NULL,bootleg
J.League Tactics Soccer,n64,NULL,bootleg
Jeopardy!,n64,NULL,bootleg
Jeremy McGrath Supercross 2000,n64,NULL,bootleg
Jet Force Gemini,n64,NULL,bootleg
Kakinoki Shogi,n64,NULL,bootleg
Ken Griffey Jr.'s Slugfest,n64,NULL,bootleg
Killer Instinct Gold,n64,NULL,bootleg
Kirby 64: The Crystal Shards,n64,NULL,bootleg
Knife Edge: Nose Gunner,n64,NULL,bootleg
Knockout Kings 2000,n64,NULL,bootleg
Kobe Bryant in NBA Courtside,n64,NULL,bootleg
Last Legion UX,n64,NULL,bootleg
Lego Racers,n64,NULL,bootleg
Let's Go By Train! 64,n64,NULL,bootleg
Lode Runner 3-D,n64,NULL,bootleg
Mace: The Dark Age,n64,NULL,bootleg
Madden NFL 64,n64,NULL,bootleg
Madden NFL 99,n64,NULL,bootleg
Madden NFL 2000,n64,NULL,bootleg
Madden NFL 2001,n64,NULL,bootleg
Madden NFL 2002,n64,NULL,bootleg
Magical Tetris Challenge,n64,NULL,bootleg
Mahjong 64,n64,NULL,bootleg
Mahjong Master,n64,NULL,bootleg
Major League Baseball featuring Ken Griffey Jr.,n64,NULL,bootleg
Mario Golf,n64,NULL,bootleg
Mario Kart 64,n64,NULL,bootleg
Mario No Photopie,n64,NULL,bootleg
Mario Party,n64,NULL,bootleg
Mario Party 2,n64,NULL,bootleg
Mario Party 3,n64,NULL,bootleg
Mario Tennis,n64,NULL,bootleg
Mega Man 64,n64,NULL,bootleg
Mercenary Traditions,n64,NULL,bootleg
Mia Hamm Soccer 64,n64,NULL,bootleg
Mickey's Speedway USA,n64,NULL,bootleg
Micro Machines 64 Turbo,n64,NULL,bootleg
Midway's Greatest Arcade Hits Volume 1,n64,NULL,bootleg
Mike Piazza's Strike Zone,n64,NULL,bootleg
Milo's Astro Lanes,n64,NULL,bootleg
Mischief Makers,n64,NULL,bootleg
Mission: Impossible,n64,NULL,bootleg
Monaco Grand Prix,n64,NULL,bootleg
Monopoly,n64,NULL,bootleg
Monster Truck Madness 64,n64,NULL,bootleg
Mortal Kombat 4,n64,NULL,bootleg
Mortal Kombat Mythologies: Sub-Zero,n64,NULL,bootleg
Mortal Kombat Trilogy,n64,NULL,bootleg
MRC: Multi-Racing Championship,n64,NULL,bootleg
Ms. Pac-Man Maze Madness,n64,NULL,bootleg
Mystical Ninja Starring Goemon,n64,NULL,bootleg
Nagano Olympic Hockey '98,n64,NULL,bootleg
Namco Museum 64,n64,NULL,bootleg
NASCAR 99,n64,NULL,bootleg
NASCAR 2000,n64,NULL,bootleg
NBA Courtside 2 Featuring Kobe Bryant,n64,NULL,bootleg
NBA In The Zone '98,n64,NULL,bootleg
NBA In The Zone '99,n64,NULL,bootleg
NBA In The Zone 2000,n64,NULL,bootleg
NBA Jam '99,n64,NULL,bootleg
NBA Jam 2000,n64,NULL,bootleg
NBA Live 99,n64,NULL,bootleg
NBA Live 2000,n64,NULL,bootleg
NBA Showdown '94,n64,NULL,bootleg
"New Tetris, The",n64,NULL,bootleg
NFL Blitz,n64,NULL,bootleg
NFL Blitz 99,n64,NULL,bootleg
NFL Blitz 2000,n64,NULL,bootleg
NFL Blitz 2001,n64,NULL,bootleg
NFL Blitz Special Edition,n64,NULL,bootleg
NFL Quarterback Club 98,n64,NULL,bootleg
NFL Quarterback Club 99,n64,NULL,bootleg
NFL Quarterback Club 2000,n64,NULL,bootleg
NFL Quarterback Club 2001,n64,NULL,bootleg
NHL 99,n64,NULL,bootleg
NHL Blades of Steel '99,n64,NULL,bootleg
NHL Breakaway '98,n64,NULL,bootleg
NHL Breakaway '99,n64,NULL,bootleg
Nightmare Creatures,n64,NULL,bootleg
Nuclear Strike 64,n64,NULL,bootleg
Off Road Challenge,n64,NULL,bootleg
Ogre Battle 64: Person of Lordly Caliber,n64,NULL,bootleg
Olympic Hockey 98,n64,NULL,bootleg
Onegai Monster,n64,NULL,bootleg
Operation: WinBack,n64,NULL,bootleg
Pachinko 365 Nichi,n64,NULL,bootleg
Paper Mario,n64,NULL,bootleg
Paperboy 64,n64,NULL,bootleg
Parlyi,n64,NULL,bootleg
PD Ultraman Battle Collection 64,n64,NULL,bootleg
Penny Racers,n64,NULL,bootleg
Perfect Dark,n64,NULL,bootleg
PGA European Tour,n64,NULL,bootleg
Pilotwings 64,n64,NULL,bootleg
Pocket Monsters Stadium,n64,NULL,bootleg
Pokemon Puzzle League,n64,NULL,bootleg
Pokemon Snap,n64,NULL,bootleg
Pokemon Stadium,n64,NULL,bootleg
Pokemon Stadium 2,n64,NULL,bootleg
Polaris SnoCross,n64,NULL,bootleg
Power Rangers Lightspeed Rescue,n64,NULL,bootleg
Pro Mahjong Kiwame 64,n64,NULL,bootleg
Power Sled,n64,NULL,bootleg
Puyo Puyo 4: Sun,n64,NULL,bootleg
Puyo Puyo '99,n64,NULL,bootleg
Quake,n64,NULL,bootleg
Quake II,n64,NULL,bootleg
Quest 64,n64,NULL,bootleg
Rakuga Kids,n64,NULL,bootleg
Rally Challenge 2000,n64,NULL,bootleg
Rampage World Tour,n64,NULL,bootleg
Rampage 2: Universal Tour,n64,NULL,bootleg
Rat Attack!,n64,NULL,bootleg
Rayman 2: The Great Escape,n64,NULL,bootleg
Razor Freestyle Scooter,n64,NULL,bootleg
Re-Volt,n64,NULL,bootleg
Ready 2 Rumble Boxing,n64,NULL,bootleg
Ready 2 Rumble Boxing: Round 2,n64,NULL,bootleg
Resident Evil 2,n64,NULL,bootleg
Ridge Racer 64,n64,NULL,bootleg
Road Rash 64,n64,NULL,bootleg
Roadsters Trophy,n64,NULL,bootleg
Robotron 64,n64,NULL,bootleg
Rocket: Robot on Wheels,n64,NULL,bootleg
Rugrats in Paris: The Movie,n64,NULL,bootleg
Rugrats: Scavenger Hunt,n64,NULL,bootleg
Rush 2: Extreme Racing USA,n64,NULL,bootleg
S.C.A.R.S.,n64,NULL,bootleg
Saban's Power Rangers Lightspeed Rescue,n64,NULL,bootleg
San Francisco Rush: Extreme Racing,n64,NULL,bootleg
San Francisco Rush 2049,n64,NULL,bootleg
Schoenstein 3D,n64,NULL,bootleg
Scooby-Doo! Classic Creep Capers,n64,NULL,bootleg
Scars,n64,NULL,bootleg
Shadow Man,n64,NULL,bootleg
Shadowgate 64: Four Towers,n64,NULL,bootleg
SimCity 2000,n64,NULL,bootleg
Sin and Punishment,n64,NULL,bootleg
Skate Board 64,n64,NULL,bootleg
Snowboard Kids,n64,NULL,bootleg
Snowboard Kids 2,n64,NULL,bootleg
South Park,n64,NULL,bootleg
South Park Rally,n64,NULL,bootleg
South Park: Chef's Luv Shack,n64,NULL,bootleg
Space Invaders,n64,NULL,bootleg
Space Station Silicon Valley,n64,NULL,bootleg
Spiderman,n64,NULL,bootleg
Star Fox 64,n64,NULL,bootleg
Star Soldier: Vanishing Earth,n64,NULL,bootleg
Star Wars Episode I: Racer,n64,NULL,bootleg
Star Wars: Battle for Naboo,n64,NULL,bootleg
Star Wars: Rogue Squadron,n64,NULL,bootleg
Star Wars: Shadows of the Empire,n64,NULL,bootleg
StarCraft 64,n64,NULL,bootleg
Stunt Racer 64,n64,NULL,bootleg
Super Bowling,n64,NULL,bootleg
Super Mario 64,n64,NULL,bootleg
Super Robot Taisen 64,n64,NULL,bootleg
Super Smash Bros.,n64,NULL,bootleg
Super Smash Remix (Mod),n64,NULL,bootleg
Supercross 2000,n64,NULL,bootleg
Superman 64,n64,NULL,bootleg
Susume! Taisen Puzzle Dama,n64,NULL,bootleg
Tarzan,n64,NULL,bootleg
Taz Express,n64,NULL,bootleg
Tetris 64,n64,NULL,bootleg
Tetris Sphere,n64,NULL,bootleg
Tom and Jerry in Fists of Furry,n64,NULL,bootleg
Tom Clancy's Rainbow Six,n64,NULL,bootleg
Tonic Trouble,n64,NULL,bootleg
Tony Hawk's Pro Skater,n64,NULL,bootleg
Tony Hawk's Pro Skater 2,n64,NULL,bootleg
Tony Hawk's Pro Skater 3,n64,NULL,bootleg
Top Gear Overdrive,n64,NULL,bootleg
Top Gear Rally,n64,NULL,bootleg
Top Gear Rally 2,n64,NULL,bootleg
Top Gear Hyper Bike,n64,NULL,bootleg
Toy Story 2: Buzz Lightyear to the Rescue!,n64,NULL,bootleg
Transformers: Beast Wars Transmetals,n64,NULL,bootleg
Triple Play 2000,n64,NULL,bootleg
Turok: Dinosaur Hunter,n64,NULL,bootleg
Turok 2: Seeds of Evil,n64,NULL,bootleg
Turok 3: Shadow of Oblivion,n64,NULL,bootleg
Turok: Rage Wars,n64,NULL,bootleg
Twisted Edge Extreme Snowboarding,n64,NULL,bootleg
V-Rally Edition '99,n64,NULL,bootleg
Vigilante 8,n64,NULL,bootleg
Vigilante 8: 2nd Offense,n64,NULL,bootleg
Virtual Chess 64,n64,NULL,bootleg
Virtual Pool 64,n64,NULL,bootleg
Virtual Pro Wrestling 64,n64,NULL,bootleg
Virtual Pro Wrestling 2,n64,NULL,bootleg
Waialae Country Club: True Golf Classics,n64,NULL,bootleg
War Gods,n64,NULL,bootleg
Wave Race 64,n64,NULL,bootleg
Wayne Gretzky's 3D Hockey,n64,NULL,bootleg
Wayne Gretzky's 3D Hockey '98,n64,NULL,bootleg
WCW Backstage Assault,n64,NULL,bootleg
WCW Mayhem,n64,NULL,bootleg
WCW Nitro,n64,NULL,bootleg
WCW vs. nWo: World Tour,n64,NULL,bootleg
WCW/nWo Revenge,n64,NULL,bootleg
Wetrix,n64,NULL,bootleg
Wheel of Fortune,n64,NULL,bootleg
WinBack: Covert Operations,n64,NULL,bootleg
Wipeout 64,n64,NULL,bootleg
Wonder Project J2,n64,NULL,bootleg
